LOC CHR START STOP nSNP
1 1 320342 9318788 154
2 1 9318788 13417613 86
3 1 13417613 17786299 89
4 1 17786299 23858687 78
5 1 23858687 29949287 114
6 1 29949287 36677135 124
7 1 36677135 41396673 75
8 1 41396673 51500658 199
9 1 51500658 59877769 155
10 1 59877769 64018444 72
11 1 64018444 74287712 170
12 1 74287712 88177932 210
13 1 88177932 93955242 73
14 1 93955242 109245786 219
15 1 109245786 120284753 141
16 1 120284753 135569814 139
17 1 135569814 142133472 71
18 1 142133472 151823850 100
19 1 151823850 169190855 174
20 1 169190855 181129683 121
21 1 181129683 188695908 111
22 1 188695908 201473261 143
23 1 201473261 206279063 63
24 1 206279063 219287728 159
25 1 219287728 228502814 123
26 1 228502814 245117962 211
27 1 245117962 248216880 45
28 1 248216880 256663431 146
29 1 256663431 264388149 112
30 1 264388149 268442259 72
31 1 268442259 272760898 61
32 1 272760898 278291364 72
33 1 278291364 282651390 75
34 1 282651390 285563647 55
35 1 285563647 290972764 101
36 1 290972764 295379020 66
37 1 295379020 301669618 69
38 1 301669618 307889734 77
39 1 307889734 315214500 70
40 2 16416 3031955 47
41 2 3031955 9368058 91
42 2 9368058 19099121 123
43 2 19099121 22590109 55
44 2 22590109 28639400 113
45 2 28639400 32951325 67
46 2 32951325 41937766 147
47 2 41937766 51697485 154
48 2 51697485 66048253 172
49 2 66048253 71990984 79
50 2 71990984 80262803 93
51 2 80262803 84377793 49
52 2 84377793 89499964 91
53 2 89499964 100017997 191
54 2 100017997 105612098 93
55 2 105612098 112402083 98
56 2 112402083 121853786 172
57 2 121853786 125624966 66
58 2 125624966 128646550 45
59 2 128646550 133165026 85
60 2 133165026 137046877 58
61 2 137046877 141680215 63
62 2 141680215 148083454 107
63 2 148083454 154901024 117
64 2 154901024 158549163 58
65 2 158549163 162298086 39
66 3 72705 2247061 40
67 3 2247061 11267237 112
68 3 11267237 15450089 69
69 3 15450089 20885032 82
70 3 20885032 26302391 87
71 3 26302391 31873246 83
72 3 31873246 35492922 61
73 3 35492922 37693032 34
74 3 37693032 48991720 164
75 3 48991720 53003881 64
76 3 53003881 62710509 126
77 3 62710509 76408626 176
78 3 76408626 91109873 193
79 3 91109873 99987765 177
80 3 99987765 104364054 58
81 3 104364054 106573802 31
82 3 106573802 110245560 50
83 3 110245560 113122071 55
84 3 113122071 118589606 92
85 3 118589606 126039599 113
86 3 126039599 129202799 38
87 3 129202799 133683428 74
88 3 133683428 143300040 145
89 3 143300040 144035718 11
90 4 51236 3686510 68
91 4 3686510 6003259 37
92 4 6003259 8194303 37
93 4 8194303 13008743 83
94 4 13008743 16091101 51
95 4 16091101 23972516 141
96 4 23972516 30093717 103
97 4 30093717 32896817 41
98 4 32896817 39076273 96
99 4 39076273 42861421 40
100 4 42861421 53047867 145
101 4 53047867 61946905 123
102 4 61946905 69129085 101
103 4 69129085 72819276 41
104 4 72819276 76248808 45
105 4 76248808 83047506 109
106 4 83047506 93480090 128
107 4 93480090 97929114 68
108 4 97929114 111821142 241
109 4 111821142 119049339 113
110 4 119049339 122502076 58
111 4 122502076 124157393 35
112 4 124157393 129101927 91
113 4 129101927 130653640 33
114 4 130653640 133564069 55
115 4 133564069 139260673 96
116 4 139260673 140699287 25
117 4 140699287 143392054 40
118 5 40395 719100 12
119 5 719100 3707202 47
120 5 3707202 8078167 53
121 5 8078167 15725895 121
122 5 15725895 18551698 42
123 5 18551698 27040193 129
124 5 27040193 34728096 111
125 5 34728096 38337110 59
126 5 38337110 45119231 66
127 5 45119231 51507843 88
128 5 51507843 53998123 27
129 5 53998123 62532538 120
130 5 62532538 66837858 58
131 5 66837858 80003031 226
132 5 80003031 83695410 67
133 5 83695410 91171855 101
134 5 91171855 97843765 93
135 5 97843765 102326523 70
136 5 102326523 111502581 150
137 6 13141 4060304 52
138 6 4060304 8936444 95
139 6 8936444 17434093 135
140 6 17434093 21612257 73
141 6 21612257 24389455 54
142 6 24389455 28512075 71
143 6 28512075 30555456 36
144 6 30555456 36568356 79
145 6 36568356 38961264 53
146 6 38961264 43334497 69
147 6 43334497 46929076 68
148 6 46929076 53831622 119
149 6 53831622 62254268 148
150 6 62254268 66753936 75
151 6 66753936 74268848 141
152 6 74268848 77180996 56
153 6 77180996 80246537 45
154 6 80246537 85740131 79
155 6 85740131 94099708 150
156 6 94099708 99704053 70
157 6 99704053 105652403 72
158 6 105652403 113074700 121
159 6 113074700 117857953 81
160 6 117857953 126488050 145
161 6 126488050 138579392 176
162 6 138579392 141189342 39
163 6 141189342 145680789 62
164 6 145680789 151610849 84
165 6 151610849 156653353 70
166 6 156653353 157649704 14
167 7 69146 9444813 145
168 7 9444813 16738844 105
169 7 16738844 21125440 101
170 7 21125440 27103675 90
171 7 27103675 30470118 54
172 7 30470118 34103417 59
173 7 34103417 44704830 171
174 7 44704830 48806874 60
175 7 48806874 53781062 95
176 7 53781062 59543190 98
177 7 59543190 65683817 91
178 7 65683817 70954287 87
179 7 70954287 81682761 142
180 7 81682761 86972221 60
181 7 86972221 91825126 90
182 7 91825126 95030621 47
183 7 95030621 101396929 99
184 7 101396929 104245965 39
185 7 104245965 108663392 65
186 7 108663392 114977348 97
187 7 114977348 117803039 48
188 7 117803039 120115126 40
189 7 120115126 121631040 21
190 7 121631040 125305871 59
191 7 125305871 127907866 43
192 7 127907866 132794770 62
193 7 132794770 134695013 26
194 8 43676 5131733 74
195 8 5131733 10796174 89
196 8 10796174 18514530 116
197 8 18514530 23147683 79
198 8 23147683 30952610 135
199 8 30952610 34810760 73
200 8 34810760 42224575 120
201 8 42224575 59692365 209
202 8 59692365 64946356 89
203 8 64946356 75092587 152
204 8 75092587 80048633 86
205 8 80048633 83944144 56
206 8 83944144 88102451 67
207 8 88102451 93390293 96
208 8 93390293 103670189 176
209 8 103670189 114573556 209
210 8 114573556 118284792 48
211 8 118284792 122343524 73
212 8 122343524 129269760 112
213 8 129269760 135960757 121
214 8 135960757 140539090 88
215 8 140539090 143349693 48
216 8 143349693 148460698 85
217 9 21708 7211004 115
218 9 7211004 11866936 88
219 9 11866936 14512022 50
220 9 14512022 22661270 122
221 9 22661270 30795186 156
222 9 30795186 35935392 82
223 9 35935392 39273475 66
224 9 39273475 45626011 103
225 9 45626011 50866294 73
226 9 50866294 55153954 57
227 9 55153954 60564647 79
228 9 60564647 71711489 165
229 9 71711489 86393383 242
230 9 86393383 91332681 107
231 9 91332681 106489605 229
232 9 106489605 112851170 72
233 9 112851170 116511381 48
234 9 116511381 122503851 89
235 9 122503851 130911858 109
236 9 130911858 137636813 96
237 9 137636813 145388930 136
238 9 145388930 150774166 73
239 9 150774166 153596268 45
240 10 54839 796810 13
241 10 796810 3998062 48
242 10 3998062 5726868 33
243 10 5726868 10579010 76
244 10 10579010 12020850 23
245 10 12020850 17948352 91
246 10 17948352 20485599 45
247 10 20485599 22758772 31
248 10 22758772 25620371 38
249 10 25620371 31983675 99
250 10 31983675 39667084 109
251 10 39667084 46867278 99
252 10 46867278 49520263 47
253 10 49520263 54085825 83
254 10 54085825 59507616 74
255 10 59507616 63627198 69
256 10 63627198 66752876 46
257 10 66752876 69820079 58
258 10 69820079 73702282 62
259 10 73702282 75830836 25
260 10 75830836 78603342 36
261 11 22488 2874367 33
262 11 2874367 8807729 95
263 11 8807729 12207142 48
264 11 12207142 16868787 58
265 11 16868787 21858056 64
266 11 21858056 26022055 71
267 11 26022055 41932413 256
268 11 41932413 52218085 162
269 11 52218085 55728615 55
270 11 55728615 65388415 156
271 11 65388415 68910508 71
272 11 68910508 74076624 90
273 11 74076624 77881546 62
274 11 77881546 81016745 41
275 11 81016745 84569470 63
276 11 84569470 87115792 37
277 11 87115792 87657377 6
278 12 95953 4046272 52
279 12 4046272 8203201 71
280 12 8203201 9631344 27
281 12 9631344 14344553 77
282 12 14344553 18199771 62
283 12 18199771 21492055 47
284 12 21492055 23161884 28
285 12 23161884 34360905 186
286 12 34360905 38497895 74
287 12 38497895 42933541 93
288 12 42933541 45749901 30
289 12 45749901 49460390 53
290 12 49460390 54495710 83
291 12 54495710 57123997 34
292 12 57123997 60027710 56
293 12 60027710 62914506 46
294 12 62914506 63576217 11
295 13 88939 1808845 37
296 13 1808845 5749336 51
297 13 5749336 10389290 71
298 13 10389290 15785723 104
299 13 15785723 20142822 76
300 13 20142822 25182771 87
301 13 25182771 32309149 132
302 13 32309149 39191749 105
303 13 39191749 42637793 43
304 13 42637793 47113669 64
305 13 47113669 58558615 199
306 13 58558615 68426298 185
307 13 68426298 72427605 65
308 13 72427605 79276382 109
309 13 79276382 84438052 86
310 13 84438052 87447908 39
311 13 87447908 89036317 34
312 13 89036317 99249641 162
313 13 99249641 102775217 70
314 13 102775217 108418388 80
315 13 108418388 111677712 57
316 13 111677712 114884492 58
317 13 114884492 120017132 72
318 13 120017132 135173720 171
319 13 135173720 141229923 86
320 13 141229923 156154264 195
321 13 156154264 160434202 54
322 13 160434202 172175607 184
323 13 172175607 187774501 203
324 13 187774501 192901069 81
325 13 192901069 196810429 60
326 13 196810429 199664247 49
327 13 199664247 204658348 69
328 13 204658348 206756876 42
329 13 206756876 214638345 90
330 13 214638345 218473686 51
331 14 73349 1821556 32
332 14 1821556 12399361 171
333 14 12399361 15256192 48
334 14 15256192 22067846 120
335 14 22067846 29653809 123
336 14 29653809 37944008 146
337 14 37944008 40752431 46
338 14 40752431 45718453 78
339 14 45718453 53296412 116
340 14 53296412 59576286 85
341 14 59576286 62108086 44
342 14 62108086 64565618 45
343 14 64565618 68322925 56
344 14 68322925 70424030 48
345 14 70424030 80393638 146
346 14 80393638 86538772 80
347 14 86538772 94400346 132
348 14 94400346 99836763 92
349 14 99836763 104929965 99
350 14 104929965 111318932 121
351 14 111318932 116523488 75
352 14 116523488 119485789 60
353 14 119485789 124769713 81
354 14 124769713 129315483 50
355 14 129315483 134074409 77
356 14 134074409 138783553 71
357 14 138783553 143889933 75
358 14 143889933 148215280 66
